datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2016-05-04,0.8540292605105775,0.449,25.0,rain,0.0,0.0
2016-05-05,0.7815504871986005,0.126,29.17,rain,0.0,0.0
2016-05-06,0.7719636786983168,0.081,16.67,rain,0.0,0.0
2016-05-07,0.8394408682062099,0.024,8.33,rain,0.0,0.0
2016-05-08,0.7849094773723846,0.021,8.33,rain,0.0,0.0
2016-05-09,0.7576497333660019,0.0,0.0,,0.0,0.0
2016-05-10,0.8126110024715401,0.0,0.0,,0.0,0.0
2016-05-11,0.8051432149777609,0.0,0.0,,0.0,0.0
2016-05-12,0.7107437126557892,0.0,0.0,,0.0,0.0
2016-05-13,0.6957178617967528,0.089,16.67,rain,0.0,0.0
2016-05-14,0.780642829776092,0.024,12.5,rain,0.0,0.0
2016-05-15,0.8119903264647128,0.0,0.0,,0.0,0.0
2016-05-16,0.7954448552879975,0.0,0.0,,0.0,0.0
2016-05-17,0.772298707425344,0.0,0.0,,0.0,0.0
2016-05-18,0.7672709755975349,0.0,0.0,,0.0,0.0
2016-05-19,0.7689004119682368,0.0,0.0,,0.0,0.0
2016-05-20,0.7878973843021784,0.023,4.17,rain,0.0,0.0
2016-05-21,0.7687690795688917,0.0,0.0,,0.0,0.0
2016-05-22,0.7540740684738356,0.0,0.0,,0.0,0.0
2016-05-23,0.7583720153595976,0.0,0.0,,0.0,0.0
2016-05-24,0.7860517676399206,0.247,20.83,rain,0.0,0.0
2016-05-25,0.7917963170465994,0.0,0.0,,0.0,0.0
2016-05-26,0.7399589430790308,0.0,0.0,,0.0,0.0
2016-05-27,0.7920657257045185,0.0,0.0,,0.0,0.0
2016-05-28,0.7723736259026721,0.0,0.0,,0.0,0.0
2016-05-29,0.7745938961906883,0.0,0.0,,0.0,0.0
2016-05-30,0.7889089695055183,1.128,45.83,rain,0.0,0.0
2016-05-31,0.7714298067849052,0.0,0.0,,0.0,0.0
2016-06-01,0.7353857948773532,0.0,0.0,,0.0,0.0
2016-06-02,0.7834445823470726,0.0,0.0,,0.0,0.0
2016-06-03,0.7491564865781777,0.0,0.0,,0.0,0.0
2016-06-04,0.7559768115192163,0.0,0.0,,0.0,0.0
2016-06-05,0.7291915402924815,0.89,45.83,rain,0.0,0.0
2016-06-06,0.7774421755247432,0.0,0.0,,0.0,0.0
2016-06-07,0.8065116260095351,0.141,8.33,rain,0.0,0.0
2016-06-08,0.7582047566213679,0.004,4.17,rain,0.0,0.0
2016-06-09,0.7997416116205045,0.0,0.0,,0.0,0.0
2016-06-10,0.8371384048794885,0.0,0.0,,0.0,0.0
2016-06-11,0.7871856027299973,0.018,4.17,rain,0.0,0.0
2016-06-12,0.7607574296095362,0.0,0.0,,0.0,0.0
2016-06-13,0.7713047703414184,0.0,0.0,,0.0,0.0
2016-06-14,0.7846336495855288,0.0,0.0,,0.0,0.0
2016-06-15,0.8002329455784274,0.0,0.0,,0.0,0.0
2016-06-16,0.7813988329692179,0.0,0.0,,0.0,0.0
2016-06-17,0.8016831846343938,0.001,4.17,rain,0.0,0.0
2016-06-18,0.7466314598199028,0.106,4.17,rain,0.0,0.0
2016-06-19,0.755360597497919,0.0,0.0,,0.0,0.0
2016-06-20,0.7211657964156177,0.0,0.0,,0.0,0.0
2016-06-21,0.7309457252950913,0.082,8.33,rain,0.0,0.0
2016-06-22,0.7161799693237154,0.003,4.17,rain,0.0,0.0
2016-06-23,0.72066689841782,0.0,0.0,,0.0,0.0
2016-06-24,0.7485682665199627,0.0,0.0,,0.0,0.0
2016-06-25,0.8023910153011742,0.0,0.0,,0.0,0.0
2016-06-26,0.7438902307065784,0.0,0.0,,0.0,0.0
2016-06-27,0.7613899245474449,0.0,0.0,,0.0,0.0
