datetime,precip,precipcover,preciptype,snow,snowdepth
2016-09-06,0.168,45.83,rain,0.0,0.0
2016-09-07,0.037,12.5,rain,0.0,0.0
2016-09-08,0.0,0.0,,0.0,0.0
2016-09-09,0.0,0.0,,0.0,0.0
2016-09-10,0.011,4.17,rain,0.0,0.0
2016-09-11,0.028,4.17,rain,0.0,0.0
2016-09-12,0.0,0.0,,0.0,0.0
2016-09-13,0.0,0.0,,0.0,0.0
2016-09-14,0.055,8.33,rain,0.0,0.0
2016-09-15,0.0,0.0,,0.0,0.0
2016-09-16,0.0,0.0,,0.0,0.0
2016-09-17,0.0,0.0,,0.0,0.0
2016-09-18,0.0,0.0,,0.0,0.0
2016-09-19,0.316,29.17,rain,0.0,0.0
2016-09-20,0.0,0.0,,0.0,0.0
2016-09-21,0.0,0.0,,0.0,0.0
2016-09-22,0.0,0.0,,0.0,0.0
2016-09-23,0.068,4.17,rain,0.0,0.0
2016-09-24,0.254,12.5,rain,0.0,0.0
2016-09-25,0.0,0.0,,0.0,0.0
2016-09-26,0.0,0.0,,0.0,0.0
2016-09-27,0.231,16.67,rain,0.0,0.0
2016-09-28,0.001,4.17,rain,0.0,0.0
2016-09-29,0.0,0.0,,0.0,0.0
2016-09-30,0.145,25.0,rain,0.0,0.0
2016-10-01,0.67,83.33,rain,0.0,0.0
2016-10-02,0.033,12.5,rain,0.0,0.0
2016-10-03,0.0,0.0,,0.0,0.0
2016-10-04,0.001,4.17,rain,0.0,0.0
2016-10-05,0.0,0.0,,0.0,0.0
2016-10-06,0.0,0.0,,0.0,0.0
2016-10-07,0.0,0.0,,0.0,0.0
2016-10-08,0.0,0.0,,0.0,0.0
2016-10-09,1.844,87.5,rain,0.0,0.0
2016-10-10,0.0,0.0,,0.0,0.0
2016-10-11,0.0,0.0,,0.0,0.0
2016-10-12,0.0,0.0,,0.0,0.0
2016-10-13,0.0,0.0,,0.0,0.0
2016-10-14,0.0,0.0,,0.0,0.0
2016-10-15,0.0,0.0,,0.0,0.0
2016-10-16,0.0,0.0,,0.0,0.0
2016-10-17,0.0,0.0,,0.0,0.0
2016-10-18,0.158,16.67,rain,0.0,0.0
2016-10-19,0.0,0.0,,0.0,0.0
2016-10-20,0.028,4.17,rain,0.0,0.0
2016-10-21,1.154,37.5,rain,0.0,0.0
2016-10-22,0.188,29.17,rain,0.0,0.0
2016-10-23,0.0,0.0,,0.0,0.0
2016-10-24,0.0,0.0,,0.0,0.0
2016-10-25,0.0,0.0,,0.0,0.0
2016-10-26,0.0,0.0,,0.0,0.0
2016-10-27,0.5,33.33,rain,0.0,0.0
2016-10-28,0.743,41.67,rain,0.0,0.1
2016-10-29,0.0,0.0,,0.0,0.0
2016-10-30,0.145,20.83,rain,0.0,0.0
2016-10-31,0.0,0.0,,0.0,0.0
2016-11-01,0.0,0.0,,0.0,0.0
2016-11-02,0.0,0.0,,0.0,0.0
2016-11-03,0.074,12.5,rain,0.0,0.0
2016-11-04,0.0,0.0,,0.0,0.0
2016-11-05,0.0,0.0,,0.0,0.0
2016-11-06,0.086,16.67,rain,0.0,0.0
2016-11-07,0.0,0.0,,0.0,0.0
2016-11-08,0.0,0.0,,0.0,0.0
2016-11-09,0.011,4.17,rain,0.0,0.0
2016-11-10,0.0,0.0,,0.0,0.0
2016-11-11,0.0,0.0,,0.0,0.0
2016-11-12,0.0,0.0,,0.0,0.0
2016-11-13,0.0,0.0,,0.0,0.0
2016-11-14,0.0,0.0,,0.0,0.0
2016-11-15,1.005,37.5,rain,0.0,0.0
2016-11-16,0.041,12.5,rain,0.0,0.0
2016-11-17,0.0,0.0,,0.0,0.0
2016-11-18,0.0,0.0,,0.0,0.0
2016-11-19,0.0,0.0,,0.0,0.0
2016-11-20,0.08,12.5,rain,0.0,0.0
2016-11-21,0.0,0.0,,0.0,0.0
2016-11-22,0.0,0.0,,0.0,0.0
2016-11-23,0.0,0.0,,0.0,0.0
2016-11-24,0.057,12.5,rain,0.0,0.0
2016-11-25,0.036,8.33,rain,0.0,0.0
2016-11-26,0.0,0.0,,0.0,0.0
2016-11-27,0.0,0.0,,0.0,0.0
2016-11-28,0.0,0.0,,0.0,0.0
2016-11-29,0.44,41.67,rain,0.0,0.0
2016-11-30,0.855,41.67,rain,0.0,0.0
2016-12-01,0.326,29.17,rain,0.0,0.0
2016-12-02,0.0,0.0,,0.0,0.0
2016-12-03,0.0,0.0,,0.0,0.0
2016-12-04,0.0,0.0,,0.0,0.0
2016-12-05,0.146,29.17,"rain,snow",0.2,0.1
2016-12-06,0.0,0.0,,0.0,0.0
2016-12-07,0.087,25.0,rain,0.0,0.0
2016-12-08,0.0,0.0,,0.0,0.0
2016-12-09,0.0,0.0,,0.0,0.0
2016-12-10,0.0,0.0,,0.0,0.0
2016-12-11,0.0,0.0,"rain,snow",0.3,0.1
2016-12-12,0.444,50.0,"rain,snow",0.3,0.3
2016-12-13,0.0,0.0,,0.0,0.2
2016-12-14,0.0,0.0,,0.0,0.2
2016-12-15,0.0,0.0,,0.0,0.0
2016-12-16,0.0,0.0,snow,0.5,0.1
2016-12-17,0.536,50.0,"rain,snow",1.6,0.7
2016-12-18,0.108,33.33,rain,0.0,0.6
2016-12-19,0.0,0.0,,0.0,0.1
2016-12-20,0.0,0.0,,0.0,0.2
2016-12-21,0.0,0.0,,0.0,0.1
2016-12-22,0.018,4.17,rain,0.0,0.2
2016-12-23,0.0,0.0,,0.0,0.2
2016-12-24,0.38,20.83,rain,0.0,0.1
2016-12-25,0.0,0.0,,0.0,0.0
2016-12-26,0.0,0.0,,0.0,0.0
2016-12-27,0.012,8.33,rain,0.0,0.0
2016-12-28,0.0,0.0,,0.0,0.0
2016-12-29,1.047,41.67,"rain,snow",0.0,0.1
2016-12-30,0.0,0.0,,0.0,0.9
2016-12-31,0.027,8.33,rain,0.0,0.0
2017-01-01,0.106,20.83,rain,0.0,0.0
2017-01-02,0.0,0.0,,0.0,0.0
2017-01-03,0.855,70.83,rain,0.0,0.0
2017-01-04,0.082,20.83,rain,0.0,0.0
2017-01-05,0.0,0.0,"rain,snow",0.3,0.1
2017-01-06,0.06,12.5,"rain,snow",0.4,0.3
