service_date,peak_offpeak_ind,pct
2024/02/27 05:00:00+00,PEAK,0.739073255421156
2024/02/27 05:00:00+00,OFF_PEAK,0.752324034483351
2024/02/25 05:00:00+00,OFF_PEAK,0.8111111695862033
2024/02/26 05:00:00+00,OFF_PEAK,0.8348245733409577
2024/02/26 05:00:00+00,PEAK,0.7883897454800148
2024/02/23 05:00:00+00,OFF_PEAK,0.7882893279504192
2024/02/24 05:00:00+00,OFF_PEAK,0.8112387445674462
2024/02/23 05:00:00+00,PEAK,0.733906804810296
2024/02/22 05:00:00+00,OFF_PEAK,0.7953533457998884
2024/02/22 05:00:00+00,PEAK,0.7852417161625315
2024/02/21 05:00:00+00,OFF_PEAK,0.8300926570535966
2024/02/21 05:00:00+00,PEAK,0.8732739921954621
2024/02/20 05:00:00+00,OFF_PEAK,0.8376457111920619
2024/02/20 05:00:00+00,PEAK,0.8031588245403547
2024/02/19 05:00:00+00,OFF_PEAK,0.7991631396237472
2024/02/19 05:00:00+00,PEAK,0.8192366967153434
2024/02/17 05:00:00+00,OFF_PEAK,0.6825374822722835
2024/02/16 05:00:00+00,OFF_PEAK,0.7964027234684931
2024/02/18 05:00:00+00,OFF_PEAK,0.6211474976185877
2024/02/16 05:00:00+00,PEAK,0.8153486621472433
2024/02/14 05:00:00+00,PEAK,0.8140258303732997
2024/02/15 05:00:00+00,OFF_PEAK,0.7260612520045776
2024/02/15 05:00:00+00,PEAK,0.7610194030294481
2024/02/14 05:00:00+00,OFF_PEAK,0.781715276506018
2024/02/13 05:00:00+00,PEAK,0.842203292117718
2024/02/13 05:00:00+00,OFF_PEAK,0.7920505522956387
2024/02/12 05:00:00+00,PEAK,0.7879148079955872
2024/02/12 05:00:00+00,OFF_PEAK,0.7969500574582118
2024/02/11 05:00:00+00,OFF_PEAK,0.7874636836168466
2024/02/09 05:00:00+00,OFF_PEAK,0.8201817080927644
2024/02/10 05:00:00+00,OFF_PEAK,0.7959153450006308
2024/02/09 05:00:00+00,PEAK,0.8370725166230938
2024/02/08 05:00:00+00,PEAK,0.7852831069092201
2024/02/08 05:00:00+00,OFF_PEAK,0.8103456881999214
2024/02/06 05:00:00+00,PEAK,0.8110375448338312
2024/02/07 05:00:00+00,PEAK,0.8461503234439038
2024/02/07 05:00:00+00,OFF_PEAK,0.8330634696219871
2024/02/05 05:00:00+00,PEAK,0.7483764121030205
2024/02/06 05:00:00+00,OFF_PEAK,0.76496627027315
2024/02/05 05:00:00+00,OFF_PEAK,0.8235743542213281
2024/02/04 05:00:00+00,OFF_PEAK,0.8186408879369549
2024/02/02 05:00:00+00,PEAK,0.8282546429800566
2024/02/02 05:00:00+00,OFF_PEAK,0.7927283261546726
2024/02/03 05:00:00+00,OFF_PEAK,0.8152921984701829
2024/01/31 05:00:00+00,PEAK,0.8541692419707999
2024/02/01 05:00:00+00,OFF_PEAK,0.7555562400921917
2024/02/01 05:00:00+00,PEAK,0.6561895269375048
2024/01/31 05:00:00+00,OFF_PEAK,0.8142870159115401
2024/01/30 05:00:00+00,OFF_PEAK,0.6995503779188799
2024/01/29 05:00:00+00,PEAK,0.6593349497410743
2024/01/30 05:00:00+00,PEAK,0.7512630766016921
2024/01/29 05:00:00+00,OFF_PEAK,0.755179522523503
2024/01/27 05:00:00+00,OFF_PEAK,0.8564317454223591
2024/01/28 05:00:00+00,OFF_PEAK,0.8843998379137088
2024/01/26 05:00:00+00,OFF_PEAK,0.814370943880405
2024/01/26 05:00:00+00,PEAK,0.872871582869984
2024/01/25 05:00:00+00,PEAK,0.8567946488365474
2024/01/25 05:00:00+00,OFF_PEAK,0.8659426035031795
